ParticipantID,Block,TrialIndex,Scene,Event,TimeAbs,TrialTimeRel,X,Y,Z,LaneDeviationAbs,LaneDeviationCount,SpeedMPH,Deceleration,TrialEndRel,SurveyResponse,SurveyResponseCorrect,SurveyRT,BrakeInput,ThrottleInput,SteeringInput,Car2MergeTime,MergeRTSteer,MergeRTBrake,MergeRTThrottle,Collision,Car2DecelStartRel,Car2CollisionRel,TimeToCollision
sampletest2b,UNKNOWN,-1,SubBlock,Practice,4.368,-1,,,,,0,0,,-1,,,-1,0,0,0,,,,,0,,,
sampletest2b,UNKNOWN,-1,SubBlock,Practice,4.385,-1,,,,,0,0,,-1,,,-1,0,0,0,,,,,0,,,
sampletest2b,UNKNOWN,-1,SubBlock,Practice,4.402,-1,,,,,0,0,,-1,,,-1,0,0,0,,,,,0,,,
sampletest2b,UNKNOWN,-1,SubBlock,Practice,4.419,-1,,,,,0,0,,-1,,,-1,0,0,0,,,,,0,,,
sampletest2b,UNKNOWN,-1,SubBlock,Practice,4.435,-1,,,,,0,0,,-1,,,-1,0,0,0,,,,,0,,,
sampletest2b,UNKNOWN,-1,SubBlock,Practice,4.452,-1,,,,,0,0,,-1,,,-1,0,0,0,,,,,0,,,
sampletest2b,UNKNOWN,-1,SubBlock,Practice,4.468,-1,,,,,0,0,,-1,,,-1,0,0,0,,,,,0,,,
sampletest2b,UNKNOWN,-1,SubBlock,Practice,4.485,-1,,,,,0,0,,-1,,,-1,0,0,0,,,,,0,,,
sampletest2b,UNKNOWN,-1,SubBlock,Practice,4.502,-1,,,,,0,0,,-1,,,-1,0,0,0,,,,,0,,,
sampletest2b,UNKNOWN,-1,SubBlock,Practice,4.519,-1,,,,,0,0,,-1,,,-1,0,0,0,,,,,0,,,
sampletest2b,UNKNOWN,-1,SubBlock,Practice,4.535,-1,,,,,0,0,,-1,,,-1,0,0,0,,,,,0,,,
sampletest2b,UNKNOWN,-1,SubBlock,Practice,4.552,-1,,,,,0,0,,-1,,,-1,0,0,0,,,,,0,,,
sampletest2b,UNKNOWN,-1,SubBlock,Practice,4.568,-1,,,,,0,0,,-1,,,-1,0,0,0,,,,,0,,,
sampletest2b,UNKNOWN,-1,SubBlock,Practice,4.585,-1,,,,,0,0,,-1,,,-1,0,0,0,,,,,0,,,
sampletest2b,UNKNOWN,-1,SubBlock,Practice,4.602,-1,,,,,0,0,,-1,,,-1,0,0,0,,,,,0,,,
sampletest2b,UNKNOWN,-1,SubBlock,Practice,4.618,-1,,,,,0,0,,-1,,,-1,0,0,0,,,,,0,,,
sampletest2b,UNKNOWN,-1,SubBlock,Practice,4.635,-1,,,,,0,0,,-1,,,-1,0,0,0,,,,,0,,,
sampletest2b,UNKNOWN,-1,SubBlock,Practice,4.652,-1,,,,,0,0,,-1,,,-1,0,0,0,,,,,0,,,
sampletest2b,UNKNOWN,-1,SubBlock,Practice,4.668,-1,,,,,0,0,,-1,,,-1,0,0,0,,,,,0,,,
sampletest2b,UNKNOWN,-1,SubBlock,Practice,4.685,-1,,,,,0,0,,-1,,,-1,0,0,0,,,,,0,,,
sampletest2b,UNKNOWN,-1,SubBlock,Practice,4.702,-1,,,,,0,0,,-1,,,-1,0,0,0,,,,,0,,,
sampletest2b,UNKNOWN,-1,SubBlock,Practice,4.718,-1,,,,,0,0,,-1,,,-1,0,0,0,,,,,0,,,
sampletest2b,UNKNOWN,-1,SubBlock,Practice,4.735,-1,,,,,0,0,,-1,,,-1,0,0,0,,,,,0,,,
sampletest2b,UNKNOWN,-1,SubBlock,Practice,4.752,-1,,,,,0,0,,-1,,,-1,0,0,0,,,,,0,,,
sampletest2b,UNKNOWN,-1,SubBlock,Practice,4.768,-1,,,,,0,0,,-1,,,-1,0,0,0,,,,,0,,,
sampletest2b,UNKNOWN,-1,SubBlock,Practice,4.785,-1,,,,,0,0,,-1,,,-1,0,0,0,,,,,0,,,
sampletest2b,UNKNOWN,-1,SubBlock,Practice,4.802,-1,,,,,0,0,,-1,,,-1,0,0,0,,,,,0,,,
sampletest2b,UNKNOWN,-1,SubBlock,Practice,4.818,-1,,,,,0,0,,-1,,,-1,0,0,0,,,,,0,,,
sampletest2b,UNKNOWN,-1,SubBlock,Practice,4.835,-1,,,,,0,0,,-1,,,-1,0,0,0,,,,,0,,,
sampletest2b,UNKNOWN,-1,SubBlock,Practice,4.852,-1,,,,,0,0,,-1,,,-1,0,0,0,,,,,0,,,
sampletest2b,UNKNOWN,-1,SubBlock,Practice,4.869,-1,,,,,0,0,,-1,,,-1,0,0,0,,,,,0,,,
sampletest2b,UNKNOWN,-1,SubBlock,Practice,4.885,-1,,,,,0,0,,-1,,,-1,0,0,0,,,,,0,,,
sampletest2b,UNKNOWN,-1,SubBlock,Practice,4.902,-1,,,,,0,0,,-1,,,-1,0,0,0,,,,,0,,,
sampletest2b,UNKNOWN,-1,SubBlock,Practice,4.918,-1,,,,,0,0,,-1,,,-1,0,0,0,,,,,0,,,
sampletest2b,UNKNOWN,-1,SubBlock,Practice,4.935,-1,,,,,0,0,,-1,,,-1,0,0,0,,,,,0,,,
sampletest2b,UNKNOWN,-1,SubBlock,Practice,4.952,-1,,,,,0,0,,-1,,,-1,0,0,0,,,,,0,,,
sampletest2b,UNKNOWN,-1,SubBlock,Practice,4.968,-1,,,,,0,0,,-1,,,-1,0,0,0,,,,,0,,,
sampletest2b,UNKNOWN,-1,SubBlock,Practice,4.985,-1,,,,,0,0,,-1,,,-1,0,0,0,,,,,0,,,
