ParticipantID,Block,BlockStartAbs,BlockTimeRel,TrialIndex,Scene,Event,Expectancy,SignalColor,MergeSide,TimeAbs,TrialTimeRel,X,Y,Z,LaneDeviation,SpeedMPH,TrialEnded,TrialEndReason,TrialEndAbs,TrialEndRel,SurveyQuestion,SurveyResponse,SurveyRT
99,Night,8.357,3.347,0,U_Amb_R,,,,,11.704,3.631,0.119,0.868,4.432,,11.51,1,TrialEnd,10.815,2.742,PostTrialQuestion,,-1
99,Night,8.357,3.416,0,U_Amb_R,,,,,11.773,3.701,0.119,0.868,4.432,,11.51,1,TrialEnd,10.815,2.742,PostTrialQuestion,Red,0.959
99,Night,8.357,3.445,0,U_Amb_R,,,,,11.802,3.729,0.119,0.868,4.432,,11.51,1,TrialEnd,10.815,2.742,PostTrialQuestion,Red,0.959
99,Night,8.357,3.548,0,U_Amb_R,,,,,11.905,3.832,0.119,0.868,4.432,,11.51,1,TrialEnd,10.815,2.742,PostTrialQuestion,Red,0.959
99,Night,8.357,3.65,0,U_Amb_R,,,,,12.007,3.934,0.119,0.868,4.432,,11.51,1,TrialEnd,10.815,2.742,PostTrialQuestion,Red,0.959
99,Night,8.357,3.744,0,U_Amb_R,,,,,12.101,4.028,0.119,0.868,4.432,,11.51,1,TrialEnd,10.815,2.742,PostTrialQuestion,Red,0.959
99,Night,8.357,3.848,0,U_Amb_R,,,,,12.205,4.132,0.119,0.868,4.432,,11.51,1,TrialEnd,10.815,2.742,PostTrialQuestion,Red,0.959
99,Night,8.357,3.949,0,U_Amb_R,,,,,12.306,4.233,0.119,0.868,4.432,,11.51,1,TrialEnd,10.815,2.742,PostTrialQuestion,Red,0.959
99,Night,8.357,4.046,0,U_Amb_R,,,,,12.403,4.331,0.119,0.868,4.432,,11.51,1,TrialEnd,10.815,2.742,PostTrialQuestion,Red,0.959
99,Night,8.357,4.145,0,U_Amb_R,,,,,12.501,4.429,0.119,0.868,4.432,,11.51,1,TrialEnd,10.815,2.742,PostTrialQuestion,Red,0.959
99,Night,8.357,4.251,0,U_Amb_R,,,,,12.608,4.536,0.119,0.868,4.432,,11.51,1,TrialEnd,10.815,2.742,PostTrialQuestion,Red,0.959
99,Night,8.357,4.347,0,U_Amb_R,,,,,12.704,4.631,0.119,0.868,4.432,,11.51,1,TrialEnd,10.815,2.742,PostTrialQuestion,Red,0.959
99,Night,8.357,4.448,0,U_Amb_R,,,,,12.805,4.732,0.119,0.868,4.432,,11.51,1,TrialEnd,10.815,2.742,PostTrialQuestion,Red,0.959
99,Night,8.357,4.55,0,U_Amb_R,,,,,12.907,4.835,0.119,0.868,4.432,,11.51,1,TrialEnd,10.815,2.742,PostTrialQuestion,Red,0.959
99,Night,8.357,4.65,0,U_Amb_R,,,,,13.007,4.935,0.119,0.868,4.432,,11.51,1,TrialEnd,10.815,2.742,PostTrialQuestion,Red,0.959
99,Night,8.357,4.746,0,U_Amb_R,,,,,13.103,5.031,0.119,0.868,4.432,,11.51,1,TrialEnd,10.815,2.742,PostTrialQuestion,Red,0.959
99,Night,8.357,4.849,0,U_Amb_R,,,,,13.205,5.133,0.119,0.868,4.432,,11.51,1,TrialEnd,10.815,2.742,PostTrialQuestion,Red,0.959
99,Night,8.357,4.948,0,U_Amb_R,,,,,13.305,5.233,0.119,0.868,4.432,,11.51,1,TrialEnd,10.815,2.742,PostTrialQuestion,Red,0.959
99,Night,8.357,5.045,0,U_Amb_R,,,,,13.402,5.329,0.119,0.868,4.432,,11.51,1,TrialEnd,10.815,2.742,PostTrialQuestion,Red,0.959
99,Night,8.357,5.145,0,U_Amb_R,,,,,13.502,5.429,0.119,0.868,4.432,,11.51,1,TrialEnd,10.815,2.742,PostTrialQuestion,Red,0.959
99,Night,8.357,5.244,0,U_Amb_R,,,,,13.601,5.528,0.119,0.868,4.432,,11.51,1,TrialEnd,10.815,2.742,PostTrialQuestion,Red,0.959
99,Night,8.357,5.346,0,U_Amb_R,,,,,13.702,5.63,0.119,0.868,4.432,,11.51,1,TrialEnd,10.815,2.742,PostTrialQuestion,Red,0.959
99,Night,8.357,5.444,0,U_Amb_R,,,,,13.8,5.728,0.119,0.868,4.432,,11.51,1,TrialEnd,10.815,2.742,PostTrialQuestion,Red,0.959
99,Night,8.357,5.544,0,U_Amb_R,,,,,13.901,5.828,0.119,0.868,4.432,,11.51,1,TrialEnd,10.815,2.742,PostTrialQuestion,Red,0.959
99,Night,8.357,5.646,0,U_Amb_R,,,,,14.003,5.93,0.119,0.868,4.432,,11.51,1,TrialEnd,10.815,2.742,PostTrialQuestion,Red,0.959
99,Night,8.357,5.746,0,U_Amb_R,,,,,14.103,6.03,0.119,0.868,4.432,,11.51,1,TrialEnd,10.815,2.742,PostTrialQuestion,Red,0.959
99,Night,8.357,5.851,0,U_Amb_R,,,,,14.208,6.135,0.119,0.868,4.432,,11.51,1,TrialEnd,10.815,2.742,PostTrialQuestion,Red,0.959
99,Night,8.357,5.945,0,U_Amb_R,,,,,14.302,6.229,0.119,0.868,4.432,,11.51,1,TrialEnd,10.815,2.742,PostTrialQuestion,Red,0.959
99,Night,8.357,6.048,0,U_Amb_R,,,,,14.405,6.332,0.119,0.868,4.432,,11.51,1,TrialEnd,10.815,2.742,PostTrialQuestion,Red,0.959
99,Night,8.357,6.148,0,U_Amb_R,,,,,14.505,6.432,0.119,0.868,4.432,,11.51,1,TrialEnd,10.815,2.742,PostTrialQuestion,Red,0.959
99,Night,8.357,6.245,0,U_Amb_R,,,,,14.602,6.529,0.119,0.868,4.432,,11.51,1,TrialEnd,10.815,2.742,PostTrialQuestion,Red,0.959
99,Night,8.357,6.345,0,U_Amb_R,,,,,14.702,6.629,0.119,0.868,4.432,,11.51,1,TrialEnd,10.815,2.742,PostTrialQuestion,Red,0.959
99,Night,8.357,6.449,0,U_Amb_R,,,,,14.806,6.733,0.119,0.868,4.432,,11.51,1,TrialEnd,10.815,2.742,PostTrialQuestion,Red,0.959
99,Night,8.357,6.544,0,U_Amb_R,,,,,14.901,6.828,0.119,0.868,4.432,,11.51,1,TrialEnd,10.815,2.742,PostTrialQuestion,Red,0.959
99,Night,8.357,6.645,0,U_Amb_R,,,,,15.002,6.929,0.119,0.868,4.432,,11.51,1,TrialEnd,10.815,2.742,PostTrialQuestion,Red,0.959
99,Night,8.357,6.744,0,U_Amb_R,,,,,15.101,7.028,0.119,0.868,4.432,,11.51,1,TrialEnd,10.815,2.742,PostTrialQuestion,Red,0.959
99,Night,8.357,6.848,0,U_Amb_R,,,,,15.205,7.132,0.119,0.868,4.432,,11.51,1,TrialEnd,10.815,2.742,PostTrialQuestion,Red,0.959
99,Night,8.357,6.944,0,U_Amb_R,,,,,15.3,7.228,0.119,0.868,4.432,,11.51,1,TrialEnd,10.815,2.742,PostTrialQuestion,Red,0.959
99,Night,8.357,7.048,0,U_Amb_R,,,,,15.405,7.332,0.119,0.868,4.432,,11.51,1,TrialEnd,10.815,2.742,PostTrialQuestion,Red,0.959
99,Night,8.357,7.144,0,U_Amb_R,,,,,15.501,7.428,0.119,0.868,4.432,,11.51,1,TrialEnd,10.815,2.742,PostTrialQuestion,Red,0.959
99,Night,8.357,7.245,0,U_Amb_R,,,,,15.601,7.529,0.119,0.868,4.432,,11.51,1,TrialEnd,10.815,2.742,PostTrialQuestion,Red,0.959
99,Night,8.357,7.347,0,U_Amb_R,,,,,15.704,7.631,0.119,0.868,4.432,,11.51,1,TrialEnd,10.815,2.742,PostTrialQuestion,Red,0.959
99,Night,8.357,7.449,0,U_Amb_R,,,,,15.806,7.733,0.119,0.868,4.432,,11.51,1,TrialEnd,10.815,2.742,PostTrialQuestion,Red,0.959
99,Night,8.357,7.551,0,U_Amb_R,,,,,15.907,7.835,0.119,0.868,4.432,,11.51,1,TrialEnd,10.815,2.742,PostTrialQuestion,Red,0.959
99,Night,8.357,7.646,0,U_Amb_R,,,,,16.003,7.93,0.119,0.868,4.432,,11.51,1,TrialEnd,10.815,2.742,PostTrialQuestion,Red,0.959
99,Night,8.357,7.745,0,U_Amb_R,,,,,16.102,8.029,0.119,0.868,4.432,,11.51,1,TrialEnd,10.815,2.742,PostTrialQuestion,Red,0.959
99,Night,8.357,7.849,0,U_Amb_R,,,,,16.205,8.133,0.119,0.868,4.432,,11.51,1,TrialEnd,10.815,2.742,PostTrialQuestion,Red,0.959
99,Night,8.357,7.945,0,U_Amb_R,,,,,16.302,8.229,0.119,0.868,4.432,,11.51,1,TrialEnd,10.815,2.742,PostTrialQuestion,Red,0.959
99,Night,8.357,8.045,0,U_Amb_R,,,,,16.402,8.329,0.119,0.868,4.432,,11.51,1,TrialEnd,10.815,2.742,PostTrialQuestion,Red,0.959
99,Night,8.357,8.147,0,U_Amb_R,,,,,16.504,8.431,0.119,0.868,4.432,,11.51,1,TrialEnd,10.815,2.742,PostTrialQuestion,Red,0.959
99,Night,8.357,8.247,0,U_Amb_R,,,,,16.604,8.531,0.119,0.868,4.432,,11.51,1,TrialEnd,10.815,2.742,PostTrialQuestion,Red,0.959
99,Night,8.357,8.349,0,U_Amb_R,,,,,16.706,8.633,0.119,0.868,4.432,,11.51,1,TrialEnd,10.815,2.742,PostTrialQuestion,Red,0.959
