ParticipantID,Block,TrialIndex,TrialType,Expectancy,SignalColor,MergeSide,TimeAbsolute,TimeRelative,X,Y,Z,LaneDeviation,SpeedMPH,TrialEnded,TrialEndReason,TrialEndTimeAbs,TrialEndTimeRel,MergeCueTimeRel,DriverResponseTimeRel,ReactionTime,ResponseType,SurveyQuestion,SurveyResponse,SurveyRT
99,Day,0,Practice,Expected,Red,Right,66.83,58.40,-0.4403,0.8681,1385.5730,-0.4403,44.52,1,Manual_P,76.49,68.06,-1.000,-1.000,-1.000,None,What was the color of the REAR turn signal?,Red,1.520
99,Day,0,Practice,Expected,Red,Right,66.94,58.51,-0.4208,0.8681,1387.8300,-0.4208,43.42,1,Manual_P,76.49,68.06,-1.000,-1.000,-1.000,None,What was the color of the REAR turn signal?,Red,1.520
99,Day,0,Practice,Expected,Red,Right,67.05,58.61,-0.4006,0.8681,1389.8380,-0.4006,43.49,1,Manual_P,76.49,68.06,-1.000,-1.000,-1.000,None,What was the color of the REAR turn signal?,Red,1.520
99,Day,0,Practice,Expected,Red,Right,67.16,58.73,-0.3763,0.8681,1392.0330,-0.3763,43.51,1,Manual_P,76.49,68.06,-1.000,-1.000,-1.000,None,What was the color of the REAR turn signal?,Red,1.520
99,Day,0,Practice,Expected,Red,Right,67.27,58.84,-0.3505,0.8681,1394.2010,-0.3505,43.51,1,Manual_P,76.49,68.06,-1.000,-1.000,-1.000,None,What was the color of the REAR turn signal?,Red,1.520
99,Day,0,Practice,Expected,Red,Right,67.38,58.95,-0.3235,0.8681,1396.3540,-0.3235,43.50,1,Manual_P,76.49,68.06,-1.000,-1.000,-1.000,None,What was the color of the REAR turn signal?,Red,1.520
99,Day,0,Practice,Expected,Red,Right,67.48,59.05,-0.2980,0.8681,1398.3070,-0.2980,43.49,1,Manual_P,76.49,68.06,-1.000,-1.000,-1.000,None,What was the color of the REAR turn signal?,Red,1.520
99,Day,0,Practice,Expected,Red,Right,67.60,59.16,-0.2687,0.8681,1400.5010,-0.2687,43.56,1,Manual_P,76.49,68.06,-1.000,-1.000,-1.000,None,What was the color of the REAR turn signal?,Red,1.520
99,Day,0,Practice,Expected,Red,Right,67.71,59.28,-0.2377,0.8681,1402.7750,-0.2377,43.89,1,Manual_P,76.49,68.06,-1.000,-1.000,-1.000,None,What was the color of the REAR turn signal?,Red,1.520
99,Day,0,Practice,Expected,Red,Right,67.83,59.39,-0.2062,0.8681,1405.0430,-0.2062,44.49,1,Manual_P,76.49,68.06,-1.000,-1.000,-1.000,None,What was the color of the REAR turn signal?,Red,1.520
