ParticipantID,Block,BlockStartAbs,BlockTimeRel,TrialIndex,Scene,Event,Expectancy,SignalColor,MergeSide,TimeAbs,TrialTimeRel,X,Y,Z,LaneDeviation,SpeedMPH,TrialEnded,TrialEndReason,TrialEndAbs,TrialEndRel,SurveyResponse,SurveyResponseCorrect,SurveyRT,BrakeInput,ThrottleInput,SteeringInput,Car2Marge,Collision,Car2DecelStartAbs,Car2CollisionAbs,TimeToCollision
P000,Day,6.039,4.564,0,E_Amb_L,Practice,Expected,Red,Right,10.603,4.979,0,0.869,5.198,,12.533,0,,-1,-1,,,-1,50,50,0,0,0,,,
P000,Day,6.039,4.666,0,E_Amb_L,Practice,Expected,Red,Right,10.705,5.082,0,0.868,5.784,,13.204,0,,-1,-1,,,-1,50,50,0,0,0,,,
P000,Day,6.039,4.773,0,E_Amb_L,Practice,Expected,Red,Right,10.812,5.189,0,0.868,6.431,,13.874,0,,-1,-1,,,-1,50,50,0,0,0,,,
P000,Day,6.039,4.869,0,E_Amb_L,Practice,Expected,Red,Right,10.909,5.285,0,0.868,7.05,,14.543,0,,-1,-1,,,-1,50,50,0,0,0,,,
P000,Day,6.039,4.965,0,E_Amb_L,Practice,Expected,Red,Right,11.004,5.38,0,0.868,7.678,,15.213,0,,-1,-1,,,-1,50,50,0,0,0,,,
P000,Day,6.039,5.068,0,E_Amb_L,Practice,Expected,Red,Right,11.108,5.484,0,0.868,8.396,,15.882,0,,-1,-1,,,-1,50,50,0,0,0,,,
P000,Day,6.039,5.162,0,E_Amb_L,Practice,Expected,Red,Right,11.201,5.578,0,0.868,9.076,,16.551,0,,-1,-1,,,-1,50,50,0,0,0,,,
P000,Day,6.039,5.264,0,E_Amb_L,Practice,Expected,Red,Right,11.303,5.68,-0.001,0.868,9.843,,17.22,0,,-1,-1,,,-1,50,50,0,0,0,,,
P000,Day,6.039,5.371,0,E_Amb_L,Practice,Expected,Red,Right,11.411,5.787,-0.001,0.868,10.693,,17.889,0,,-1,-1,,,-1,50,50,0,0,0,,,
P000,Day,6.039,5.462,0,E_Amb_L,Practice,Expected,Red,Right,11.502,5.878,-0.001,0.868,11.425,,18.557,0,,-1,-1,,,-1,50,50,0,0,0,,,
P000,Day,6.039,5.566,0,E_Amb_L,Practice,Expected,Red,Right,11.605,5.981,-0.001,0.868,12.301,,19.226,0,,-1,-1,,,-1,50,50,0,0,0,,,
P000,Day,6.039,5.669,0,E_Amb_L,Practice,Expected,Red,Right,11.708,6.084,-0.001,0.868,13.202,,19.894,0,,-1,-1,,,-1,50,50,0,0,0,,,
P000,Day,6.039,5.766,0,E_Amb_L,Practice,Expected,Red,Right,11.805,6.181,-0.001,0.868,14.075,,20.563,0,,-1,-1,,,-1,50,50,0,0,0,,,
P000,Day,6.039,5.865,0,E_Amb_L,Practice,Expected,Red,Right,11.904,6.28,-0.002,0.868,14.999,,21.231,0,,-1,-1,,,-1,50,50,0,0,0,,,
P000,Day,6.039,5.969,0,E_Amb_L,Practice,Expected,Red,Right,12.009,6.385,-0.002,0.868,16.015,,21.898,0,,-1,-1,,,-1,50,50,0,0,0,,,
P000,Day,6.039,6.066,0,E_Amb_L,Practice,Expected,Red,Right,12.105,6.481,-0.002,0.868,16.963,,22.566,0,,-1,-1,,,-1,50,50,0,0,0,,,
P000,Day,6.039,6.17,0,E_Amb_L,Practice,Expected,Red,Right,12.209,6.585,-0.002,0.868,18.03,,23.234,0,,-1,-1,,,-1,50,50,0,0,0,,,
P000,Day,6.039,6.265,0,E_Amb_L,Practice,Expected,Red,Right,12.304,6.68,-0.003,0.868,19.029,,23.901,0,,-1,-1,,,-1,50,50,0,0,0,,,
P000,Day,6.039,6.364,0,E_Amb_L,Practice,Expected,Red,Right,12.403,6.78,-0.003,0.868,20.101,,24.568,0,,-1,-1,,,-1,50,50,0,0,0,,,
P000,Day,6.039,6.463,0,E_Amb_L,Practice,Expected,Red,Right,12.502,6.878,-0.003,0.868,21.203,,25.235,0,,-1,-1,,,-1,50,50,0,0,0,,,
P000,Day,6.039,6.567,0,E_Amb_L,Practice,Expected,Red,Right,12.606,6.982,-0.004,0.868,22.387,,25.902,0,,-1,-1,,,-1,50,50,0,0,0,,,
P000,Day,6.039,6.669,0,E_Amb_L,Practice,Expected,Red,Right,12.709,7.085,-0.004,0.868,23.603,,26.569,0,,-1,-1,,,-1,50,50,0,0,0,,,
P000,Day,6.039,6.763,0,E_Amb_L,Practice,Expected,Red,Right,12.802,7.179,-0.005,0.868,24.719,,27.236,0,,-1,-1,,,-1,50,50,0,0,0,,,
P000,Day,6.039,6.868,0,E_Amb_L,Practice,Expected,Red,Right,12.907,7.284,-0.005,0.868,26.011,,27.902,0,,-1,-1,,,-1,50,50,0,0,0,,,
P000,Day,6.039,6.962,0,E_Amb_L,Practice,Expected,Red,Right,13.002,7.378,-0.006,0.868,27.192,,28.568,0,,-1,-1,,,-1,50,50,0,0,0,,,
P000,Day,6.039,7.068,0,E_Amb_L,Practice,Expected,Red,Right,13.108,7.484,-0.006,0.868,28.571,,29.234,0,,-1,-1,,,-1,50,50,0,0,0,,,
P000,Day,6.039,7.163,0,E_Amb_L,Practice,Expected,Red,Right,13.202,7.579,-0.007,0.868,29.822,,29.9,0,,-1,-1,,,-1,50,50,0,0,0,,,
P000,Day,6.039,7.267,0,E_Amb_L,Practice,Expected,Red,Right,13.306,7.682,-0.007,0.868,31.216,,30.566,0,,-1,-1,,,-1,50,50,0,0,0,,,
P000,Day,6.039,7.364,0,E_Amb_L,Practice,Expected,Red,Right,13.403,7.779,-0.008,0.868,32.558,,31.232,0,,-1,-1,,,-1,50,50,0,0,0,,,
P000,Day,6.039,7.467,0,E_Amb_L,Practice,Expected,Red,Right,13.507,7.883,-0.009,0.868,34.02,,31.897,0,,-1,-1,,,-1,50,50,0,0,0,,,
P000,Day,6.039,7.565,0,E_Amb_L,Practice,Expected,Red,Right,13.604,7.98,-0.01,0.868,35.422,,32.562,0,,-1,-1,,,-1,50,50,0,0,0,,,
P000,Day,6.039,7.669,0,E_Amb_L,Practice,Expected,Red,Right,13.708,8.085,-0.011,0.868,36.964,,33.228,0,,-1,-1,,,-1,50,50,0,0,0,,,
P000,Day,6.039,7.764,0,E_Amb_L,Practice,Expected,Red,Right,13.804,8.18,-0.011,0.868,38.382,,33.893,0,,-1,-1,,,-1,50,50,0,0,0,,,
P000,Day,6.039,7.867,0,E_Amb_L,Practice,Expected,Red,Right,13.907,8.283,-0.012,0.868,39.957,,34.557,0,,-1,-1,,,-1,50,50,0,0,0,,,
P000,Day,6.039,7.963,0,E_Amb_L,Practice,Expected,Red,Right,14.002,8.378,-0.013,0.868,41.443,,35.222,0,,-1,-1,,,-1,50,50,0,0,0,,,
P000,Day,6.039,8.067,0,E_Amb_L,Practice,Expected,Red,Right,14.107,8.483,-0.014,0.868,43.105,,35.887,0,,-1,-1,,,-1,50,50,0,0,0,,,
P000,Day,6.039,8.169,0,E_Amb_L,Practice,Expected,Red,Right,14.208,8.585,-0.016,0.868,44.754,,36.551,0,,-1,-1,,,-1,50,50,0,0,0,,,
P000,Day,6.039,8.264,0,E_Amb_L,Practice,Expected,Red,Right,14.304,8.68,-0.017,0.868,46.325,,37.215,0,,-1,-1,,,-1,50,50,0,0,0,,,
P000,Day,6.039,8.371,0,E_Amb_L,Practice,Expected,Red,Right,14.41,8.786,-0.018,0.868,48.102,,37.879,0,,-1,-1,,,-1,50,50,0,0,0,,,
P000,Day,6.039,8.469,0,E_Amb_L,Practice,Expected,Red,Right,14.508,8.884,-0.019,0.868,49.784,,38.543,0,,-1,-1,,,-1,50,50,0,0,0,,,
P000,Day,6.039,8.564,0,E_Amb_L,Practice,Expected,Red,Right,14.603,8.979,-0.021,0.868,51.439,,39.207,0,,-1,-1,,,-1,50,50,0,0,0,,,
P000,Day,6.039,8.668,0,E_Amb_L,Practice,Expected,Red,Right,14.708,9.084,-0.022,0.868,53.282,,39.87,0,,-1,-1,,,-1,50,50,0,0,0,,,
P000,Day,6.039,8.771,0,E_Amb_L,Practice,Expected,Red,Right,14.811,9.187,-0.024,0.868,55.126,,40.534,0,,-1,-1,,,-1,50,50,0,0,0,,,
P000,Day,6.039,8.868,0,E_Amb_L,Practice,Expected,Red,Right,14.908,9.284,-0.025,0.868,56.906,,41.197,0,,-1,-1,,,-1,50,50,0,0,0,,,
P000,Day,6.039,8.966,0,E_Amb_L,Practice,Expected,Red,Right,15.005,9.382,-0.027,0.868,58.714,,41.86,0,,-1,-1,,,-1,50,50,0,0,0,,,
P000,Day,6.039,9.069,0,E_Amb_L,Practice,Expected,Red,Right,15.108,9.484,-0.029,0.868,60.645,,42.523,0,,-1,-1,,,-1,50,50,0,0,0,,,
P000,Day,6.039,9.166,0,E_Amb_L,Practice,Expected,Red,Right,15.206,9.582,-0.031,0.868,62.521,,43.186,0,,-1,-1,,,-1,50,50,0,0,0,,,
P000,Day,6.039,9.264,0,E_Amb_L,Practice,Expected,Red,Right,15.304,9.68,-0.032,0.868,64.43,,43.848,0,,-1,-1,,,-1,50,50,0,0,0,,,
P000,Day,6.039,9.37,0,E_Amb_L,Practice,Expected,Red,Right,15.409,9.785,-0.035,0.868,66.511,,44.511,0,,-1,-1,,,-1,50,50,0,0,0,,,
P000,Day,6.039,9.47,0,E_Amb_L,Practice,Expected,Red,Right,15.509,9.885,-0.037,0.868,68.53,,45.173,0,,-1,-1,,,-1,50,50,0,0,0,,,
P000,Day,6.039,9.566,0,E_Amb_L,Practice,Expected,Red,Right,15.606,9.982,-0.039,0.868,70.475,,45.835,0,,-1,-1,,,-1,50,50,0,0,0,,,
P000,Day,6.039,9.667,0,E_Amb_L,Practice,Expected,Red,Right,15.706,10.082,-0.041,0.868,72.548,,46.497,0,,-1,-1,,,-1,50,50,0,0,0,,,
P000,Day,6.039,9.765,0,E_Amb_L,Practice,Expected,Red,Right,15.804,10.181,-0.044,0.868,74.609,,47.159,0,,-1,-1,,,-1,50,50,0,0,0,,,
