ParticipantID,Block,TrialIndex,TrialType,Expectancy,SignalColor,MergeSide,TimeAbsolute,TimeRelative,X,Y,Z,LaneDeviation,SpeedMPH
P000,Day,0,Practice,Unexpected,Amber,Left,40.15,38.85,-6.2551,0.8681,863.5402,-6.2551,56.47
P000,Day,0,Practice,Unexpected,Amber,Left,40.25,38.95,-6.3367,0.8681,866.1105,-6.3367,56.46
P000,Day,0,Practice,Unexpected,Amber,Left,40.35,39.06,-6.4212,0.8681,868.7729,-6.4212,56.44
P000,Day,0,Practice,Unexpected,Amber,Left,40.46,39.17,-6.5084,0.8681,871.5181,-6.5084,56.43
P000,Day,0,Practice,Unexpected,Amber,Left,40.56,39.27,-6.5885,0.8681,874.0443,-6.5885,56.42
P000,Day,0,Practice,Unexpected,Amber,Left,40.67,39.37,-6.6721,0.8681,876.6774,-6.6721,56.40
P000,Day,0,Practice,Unexpected,Amber,Left,40.78,39.48,-6.7595,0.8681,879.4293,-6.7595,56.39
P000,Day,0,Practice,Unexpected,Amber,Left,40.88,39.59,-6.8449,0.8681,882.1228,-6.8449,56.38
P000,Day,0,Practice,Unexpected,Amber,Left,40.99,39.69,-6.9298,0.8681,884.7955,-6.9298,56.36
P000,Day,0,Practice,Unexpected,Amber,Left,41.10,39.80,-7.0145,0.8681,887.4906,-7.0145,56.35
P000,Day,0,Practice,Unexpected,Amber,Left,41.20,39.91,-7.0792,0.8703,890.1819,-7.0792,56.29
P000,Day,0,Practice,Unexpected,Amber,Left,41.31,40.02,-7.0986,0.8723,892.8853,-7.0986,56.24
P000,Day,0,Practice,Unexpected,Amber,Left,41.42,40.12,-7.0874,0.8699,895.5208,-7.0874,56.21
P000,Day,0,Practice,Unexpected,Amber,Left,41.52,40.22,-7.0521,0.8695,898.0576,-7.0521,56.17
P000,Day,0,Practice,Unexpected,Amber,Left,41.62,40.32,-6.9857,0.8687,900.6086,-6.9857,56.13
P000,Day,0,Practice,Unexpected,Amber,Left,41.72,40.43,-6.8848,0.8694,903.1674,-6.8848,56.09
P000,Day,0,Practice,Unexpected,Amber,Left,41.82,40.53,-6.7525,0.8692,905.7128,-6.7525,56.10
