ParticipantID,Block,TrialIndex,Scene,Event,TimeAbs,TrialTimeRel,X,Y,Z,LaneDeviation,SpeedMPH,TrialEndRel,SurveyResponse,SurveyResponseCorrect,SurveyRT,BrakeInput,ThrottleInput,SteeringInput,Car2Merge,MergeRTSteer,MergeRTBrake,MergeRTThrottle,Collision,Car2DecelStartRel,Car2CollisionAbs,TimeToCollision
3,Day,-1,SubBlock,Practice,13.703,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,-1,SubBlock,Practice,13.803,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,-1,SubBlock,Practice,13.904,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,-1,SubBlock,Practice,14.003,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,-1,SubBlock,Practice,14.103,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,-1,SubBlock,Practice,14.203,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,-1,SubBlock,Practice,14.303,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,-1,SubBlock,Practice,14.403,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,-1,SubBlock,Practice,14.503,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,-1,SubBlock,Practice,14.605,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,-1,SubBlock,Practice,14.703,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,-1,SubBlock,Practice,14.803,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,-1,SubBlock,Practice,14.903,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,-1,SubBlock,Practice,15.003,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,-1,SubBlock,Practice,15.103,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,-1,SubBlock,Practice,15.203,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,-1,SubBlock,Practice,15.303,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,-1,SubBlock,Practice,15.403,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,-1,SubBlock,Practice,15.503,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,-1,SubBlock,Practice,15.603,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,-1,SubBlock,Practice,15.703,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,-1,SubBlock,Practice,15.803,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,-1,SubBlock,Practice,15.904,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,-1,SubBlock,Practice,16.003,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,-1,SubBlock,Practice,16.104,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,-1,SubBlock,Practice,16.203,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,-1,SubBlock,Practice,16.304,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,-1,SubBlock,Practice,16.405,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,-1,SubBlock,Practice,16.503,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,-1,SubBlock,Practice,16.603,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,-1,SubBlock,Practice,16.703,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,-1,SubBlock,Practice,16.804,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,-1,SubBlock,Practice,16.903,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,-1,SubBlock,Practice,17.004,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,-1,SubBlock,Practice,17.104,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,-1,SubBlock,Practice,17.203,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,-1,SubBlock,Practice,17.303,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,-1,SubBlock,Practice,17.403,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,-1,SubBlock,Practice,17.503,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,-1,SubBlock,Practice,17.604,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,0,E_Amb_L,Practice,19.569,0,0,1.1,-0.002,,0.366,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,0,E_Amb_L,Practice,19.838,0.269,0,1.095,-0.002,,0.731,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,0,E_Amb_L,Practice,19.871,0.302,0,1.08,-0.002,,1.463,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,0,E_Amb_L,Practice,19.922,0.353,0,1.036,-0.002,,2.56,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,0,E_Amb_L,Practice,19.954,0.385,0,0.993,-0.002,,3.292,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,0,E_Amb_L,Practice,20.005,0.436,0,0.908,-0.002,,4.389,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,0,E_Amb_L,Practice,20.037,0.468,0,0.85,0.003,,3.402,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,0,E_Amb_L,Practice,20.089,0.52,0,0.844,0.016,,0.571,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,0,E_Amb_L,Practice,20.121,0.552,0,0.846,0.024,,0.588,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,0,E_Amb_L,Practice,20.171,0.602,0,0.85,0.037,,0.606,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,0,E_Amb_L,Practice,20.204,0.635,0,0.853,0.045,,0.61,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,0,E_Amb_L,Practice,20.254,0.685,0,0.858,0.058,,0.604,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,0,E_Amb_L,Practice,20.288,0.719,0,0.861,0.066,,0.596,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,0,E_Amb_L,Practice,20.355,0.786,0,0.866,0.083,,0.578,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,0,E_Amb_L,Practice,20.405,0.836,0,0.869,0.099,,0.901,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,0,E_Amb_L,Practice,20.437,0.868,0,0.87,0.114,,1.123,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,0,E_Amb_L,Practice,20.488,0.919,0,0.87,0.142,,1.453,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,0,E_Amb_L,Practice,20.521,0.952,0,0.871,0.165,,1.676,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,0,E_Amb_L,Practice,20.572,1.002,0,0.87,0.206,,2.012,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,0,E_Amb_L,Practice,20.604,1.035,0,0.87,0.237,,2.237,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,0,E_Amb_L,Practice,20.655,1.086,0,0.87,0.291,,2.573,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,0,E_Amb_L,Practice,20.688,1.119,0,0.869,0.331,,2.797,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,0,E_Amb_L,Practice,20.738,1.169,0,0.869,0.396,,3.133,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,0,E_Amb_L,Practice,20.771,1.202,0,0.868,0.445,,3.357,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,0,E_Amb_L,Practice,20.822,1.253,0,0.868,0.523,,3.693,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,0,E_Amb_L,Practice,20.856,1.287,0,0.868,0.58,,3.917,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,0,E_Amb_L,Practice,20.906,1.337,0,0.867,0.67,,4.253,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,0,E_Amb_L,Practice,20.955,1.386,0,0.867,0.769,,4.589,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,0,E_Amb_L,Practice,20.988,1.419,0,0.867,0.839,,4.813,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,0,E_Amb_L,Practice,21.042,1.473,0,0.867,0.95,,5.148,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,0,E_Amb_L,Practice,21.09,1.521,0,0.867,1.068,,5.484,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,0,E_Amb_L,Practice,21.137,1.568,0,0.867,1.194,,5.82,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,0,E_Amb_L,Practice,21.171,1.602,0,0.867,1.282,,6.044,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,0,E_Amb_L,Practice,21.225,1.656,0,0.868,1.421,,6.38,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,0,E_Amb_L,Practice,21.273,1.704,0,0.868,1.567,,6.715,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,0,E_Amb_L,Practice,21.324,1.754,0,0.868,1.72,,7.051,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,0,E_Amb_L,Practice,21.372,1.803,0,0.868,1.881,,7.387,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,0,E_Amb_L,Practice,21.406,1.837,0,0.868,1.993,,7.611,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,0,E_Amb_L,Practice,21.507,1.938,0,0.868,2.347,,8.282,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,0,E_Amb_L,Practice,21.608,2.039,0,0.868,2.732,,8.953,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,0,E_Amb_L,Practice,21.706,2.137,0,0.868,3.146,,9.624,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,0,E_Amb_L,Practice,21.841,2.272,0,0.868,3.746,,10.518,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,0,E_Amb_L,Practice,21.941,2.372,0,0.868,4.23,,11.188,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,0,E_Amb_L,Practice,22.025,2.456,0,0.868,4.657,,11.75,-1,,,-1,0,0,0,0,,,,0,,,
