ParticipantID,Block,TrialIndex,TrialType,Expectancy,SignalColor,MergeSide,TimeAbsolute,TimeRelative,X,Y,Z,LaneDeviation,SpeedMPH,TrialEnded,TrialEndReason,TrialEndTimeAbs,TrialEndTimeRel,SurveyQuestion,SurveyResponse,SurveyRT
123,Day,0,Practice,Expected,Red,Left,10.09,7.59,0.3131,0.8681,66.7445,0.3131,44.56,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,10.19,7.69,0.3622,0.8681,68.7868,0.3622,45.22,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,10.29,7.79,0.4186,0.8681,70.8852,0.4186,45.88,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,10.40,7.90,0.4810,0.8681,73.0162,0.4810,46.54,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,10.50,8.00,0.5504,0.8681,75.2395,0.5504,47.31,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,10.61,8.11,0.6248,0.8681,77.5075,0.6248,47.97,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,10.71,8.21,0.6983,0.8681,79.6694,0.6983,48.63,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,10.81,8.31,0.7714,0.8681,81.9620,0.7714,49.28,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,10.92,8.42,0.8233,0.8681,84.2747,0.8233,50.04,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,11.02,8.52,0.8677,0.8681,86.5592,0.8677,50.70,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,11.13,8.63,0.9063,0.8681,88.9722,0.9063,51.35,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,11.23,8.73,0.9330,0.8681,91.3994,0.9330,52.01,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,11.34,8.84,0.9468,0.8681,93.8504,0.9468,52.78,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,11.44,8.94,0.9477,0.8681,96.3831,0.9477,53.43,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,11.54,9.04,0.9374,0.8681,98.8208,0.9374,54.09,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,11.65,9.15,0.9163,0.8681,101.3722,0.9163,54.75,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,11.75,9.25,0.8858,0.8681,103.9741,0.8858,55.51,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,11.86,9.36,0.8474,0.8681,106.5917,0.8474,56.17,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,11.96,9.46,0.8019,0.8681,109.2557,0.8019,56.83,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,12.07,9.57,0.7503,0.8681,111.9596,0.7503,57.60,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
